iter	Logloss
207	0.1186965627
208	0.1185538158
209	0.118415213
210	0.11830761
211	0.1180889247
212	0.1179883023
213	0.1178800307
214	0.1177979801
215	0.1177221992
216	0.1176360745
217	0.1174870768
218	0.1173633289
219	0.1172142176
220	0.1170764292
221	0.1169558326
222	0.1168630707
223	0.1167649601
224	0.1166503237
225	0.1165312148
226	0.1163559312
227	0.1162454927
228	0.1161528719
229	0.1160660522
230	0.1159758655
231	0.115869009
232	0.1157463302
233	0.1156455643
234	0.1155590538
235	0.1154482316
236	0.1153559856
237	0.1152731221
238	0.1151549608
239	0.1150692948
240	0.1149650789
241	0.1148642343
242	0.114803751
243	0.1147157882
244	0.1146193154
245	0.1145254379
246	0.1144098189
247	0.1142924419
248	0.1141886959
249	0.1140991152
250	0.1140164344
251	0.1139165658
252	0.1138412396
253	0.1137614261
254	0.1136915597
255	0.11359532
256	0.1135041269
257	0.1134188021
258	0.1132977466
259	0.1131900571
260	0.1131194135
261	0.1130195922
262	0.1129135607
263	0.1128065799
264	0.1127134582
265	0.1125969631
266	0.1125101111
267	0.1124293815
268	0.1123188974
269	0.1122491922
270	0.1121666449
271	0.1121018028
272	0.1120246919
273	0.1119577553
274	0.1118648629
275	0.1117215847
276	0.1116368867
277	0.1115649031
278	0.1114940219
279	0.1114365367
280	0.111344616
281	0.1112507148
282	0.111167271
283	0.1110736888
284	0.111007057
285	0.1109082521
286	0.1108255509
287	0.1107286595
288	0.1106142811
289	0.1105125875
290	0.1104770622
291	0.1103814429
292	0.1102989352
293	0.110209735
294	0.1101131133
295	0.1100630472
296	0.1100050478
297	0.1099135377
298	0.1098512709
299	0.1097999119
300	0.1097547575
301	0.1096771873
302	0.1095607845
303	0.1094901315
304	0.109404577
305	0.1093423898
306	0.1092579625
307	0.1092015488
308	0.1091418741
309	0.1090619861
310	0.1089928303
311	0.1088986202
312	0.1088051742
313	0.1087220127
314	0.1086473134
315	0.1085564641
316	0.108498462
317	0.1084078461
318	0.1083416163
319	0.1082553905
320	0.1081759296
321	0.1080919713
322	0.1080151554
323	0.1079759622
324	0.1079142315
325	0.1078318159
326	0.1077677151
327	0.1077062338
328	0.1076141035
329	0.1075351393
330	0.1074629796
331	0.1073647726
332	0.1073021489
333	0.1072302571
334	0.1071387156
335	0.1070413241
336	0.1069539142
337	0.1068804115
338	0.1068118328
339	0.1067318736
340	0.1066584324
341	0.1066115887
342	0.1065450031
343	0.106468182
344	0.106399303
345	0.1063400933
346	0.1062845418
347	0.1061972106
348	0.1061299372
349	0.1060594631
350	0.1059897987
351	0.105930394
352	0.1058616137
353	0.105795723
354	0.1057285334
355	0.1056787868
356	0.1055867424
357	0.105523433
358	0.1054788603
359	0.1054014381
360	0.1053208766
361	0.1052527491
362	0.1051886417
363	0.1051163582
364	0.1050614325
365	0.104980957
366	0.1049389098
367	0.1048931515
368	0.1048186889
369	0.1047046157
370	0.1046352786
371	0.104580259
372	0.1045136471
373	0.1044565216
374	0.1044128012
375	0.1043486968
376	0.104290358
377	0.1042302109
378	0.1041650072
379	0.1040958636
380	0.1040650189
381	0.1040045617
382	0.1038986561
383	0.1038497225
384	0.1037774176
385	0.1036925046
386	0.103610752
387	0.1035477336
388	0.1034479217
389	0.1033863058
390	0.1033320096
391	0.10326859
392	0.1031931935
393	0.1031335907
394	0.1030799451
395	0.1030000563
396	0.1029221446
397	0.1028455469
398	0.1028044306
399	0.1027337933
400	0.1026641047
401	0.1025759292
402	0.1024951429
403	0.1024492831
404	0.1024001597
405	0.1023525323
406	0.1022738746
407	0.1022256825
408	0.102172498
409	0.10213098
410	0.1020889273
411	0.1020345574
412	0.1019793456
413	0.1019415625
414	0.1018835549
415	0.1018070771
416	0.1017451267
417	0.1016782915
418	0.1016077116
419	0.101551362
420	0.1014812035
421	0.1014152055
422	0.1013326514
423	0.1012813221
424	0.1012139216
425	0.1011420184
426	0.1010901653
427	0.1010354992
428	0.1009397255
429	0.1008544863
430	0.1007731304
431	0.1007213011
432	0.1006852625
433	0.1006212118
434	0.1005526964
435	0.1004633925
436	0.1004073733
437	0.1003584185
438	0.1002978573
439	0.1002114011
440	0.1001788432
441	0.1001077068
442	0.1000376454
443	0.09999498537
444	0.09994012074
445	0.09988906132
446	0.09981495827
447	0.09975502692
448	0.09968095998
449	0.09958091145
450	0.09952829122
451	0.09941895057
452	0.09934455994
453	0.09929222528
454	0.09920934549
455	0.09918373854
456	0.09912857421
457	0.0990856585
458	0.0990482082
459	0.0990181083
460	0.09894405698
461	0.09890769913
462	0.09883651711
463	0.09876289519
464	0.09870911256
465	0.09864899991
466	0.09857964916
467	0.09848843694
468	0.09843406516
469	0.09836044253
470	0.09828756541
471	0.09823025856
472	0.09817068873
473	0.09813300853
474	0.09805306807
475	0.09799417594
476	0.09793452273
477	0.09789273742
478	0.09782114666
479	0.0977763252
